Sample no.,b_longii,b_fernaldii
1,0.74,-0.05
2,0.26,0.03
3,0.71,0.2
4,0.3,-0.14
5,0.44,0.24
6,0.17,0.23
7,0.27,0.05
8,0.86,0.05
9,0.55,0.28
10,0.91,-0.05
11,0.61,0.13
12,0.88,0.09
13,0.48,0.03
14,0.84,-0.1
15,0.75,0.04
16,0.87,0.17
17,0.46,-0.03
18,0.5,0.35
19,0.66,0.51
20,0.67,0.16
21,0.67,0.51
22,0.72,0.16
23,0.21,0.51
24,0.57,0.07
25,-0.31,0.27
26,0.74,0.23
27,0.8,0.19
28,0.28,0.12
29,0.74,0.21
30,0.56,0.27
31,0.33,0.34
32,0.73,0.18
33,0.54,0.09
34,0.76,0.33
35,0.66,0.22
36,0.65,0.24
37,0.71,-0.06
38,0.69,0.58
39,0.77,0.51
40,0.32,0.34
41,0.68,0.37
42,0.43,0.09
43,0.58,0.44
44,0.28,0.75
45,0.5,0.38
46,0.64,0.33
47,1.14,-0.17
48,0.64,0.32
49,0.84,0.31
50,1.02,0.13
51,0.55,0.61
52,0.53,0.06
53,0.65,0.18
54,0.42,0.38
55,0.35,0.21
56,0.57,0.12
57,0.8,0.24
58,0.57,0.09
59,0.2,0.51
60,0.55,0.24
61,0.64,0.15
62,0.66,-0.14
63,0.65,-0.09
64,0.73,-0.13
65,0.48,0.09
66,0.45,0.34
67,0.65,0.26
68,0.2,0.06
69,0.49,0.18
70,0.23,-0.29
71,0.19,0.14
72,0.3,0
73,0.38,-0.08
74,0.19,0.44
75,0.55,0.1
76,0.25,0.29
77,0.65,0.2
78,0.59,0.51
79,0.6,0.49
80,,0.24
81,,0.02
82,,0.21
83,,-0.02
84,,0.35
85,,0.29
86,,-0.05
87,,0.22
88,,0.08
89,,-0.31